participant_type,participant_id,model_name,encoding_type,maze_size,maze_shape,maze_file,timestamp,json_file,solve_success,solve_moves,solve_time,recognize_success,recognized_shape,generate_success,generate_shape,edit_distance,trial_num
human,20010115,human,visual,7x7,cross,7x7_cross_13.npy,1753615748.0,20010115_7x7_cross_1753615748.json,True,1.0,5.018704652786255,True,cross,True,cross,0.12244897959183673,
human,20010115,human,visual,7x7,C,7x7_C_16.npy,1753615904.0,20010115_7x7_C_1753615904.json,True,5.0,9.997471809387207,True,C,True,C,0.16326530612244897,
human,20010115,human,visual,5x5,cross,5x5_cross_1.npy,1753615434.0,20010115_5x5_cross_1753615434.json,True,1.0,5.169694185256958,True,cross,True,cross,0.0,
human,20010115,human,visual,7x7,square,7x7_square_8.npy,1753615692.0,20010115_7x7_square_1753615692.json,True,1.0,5.219068765640259,True,square,True,square,0.20408163265306123,
human,20010115,human,visual,5x5,square,5x5_square_4.npy,1753615269.0,20010115_5x5_square_1753615269.json,True,1.0,4.169417381286621,True,square,True,square,0.0,
human,20010115,human,visual,5x5,triangle,5x5_triangle_1.npy,1753615576.0,20010115_5x5_triangle_1753615576.json,True,3.0,6.325825214385986,True,triangle,True,triangle,0.0,
human,20010115,human,visual,5x5,Z,5x5_Z_1.npy,1753615651.0,20010115_5x5_Z_1753615651.json,True,2.0,4.571335792541504,True,Z,True,Z,0.0,
human,20010115,human,visual,5x5,spiral,5x5_spiral_1.npy,1753615512.0,20010115_5x5_spiral_1753615512.json,True,7.0,11.256688356399536,True,spiral,True,spiral,0.0,
human,20010115,human,visual,7x7,triangle,7x7_triangle_2.npy,1753615862.0,20010115_7x7_triangle_1753615862.json,True,1.0,9.179667472839355,True,triangle,True,triangle,0.16326530612244897,
human,20010115,human,visual,5x5,C,5x5_C_4.npy,1753615625.0,20010115_5x5_C_1753615625.json,True,3.0,6.077987909317017,True,C,True,C,0.0,
human,20010115,human,visual,7x7,Z,7x7_Z_18.npy,1753615955.0,20010115_7x7_Z_1753615955.json,True,5.0,8.691856861114502,True,Z,True,Z,0.0,
human,19980704,human,visual,7x7,Z,7x7_Z_7.npy,1753374481.0,19980704_7x7_Z_1753374481.json,True,1.0,7.324750900268555,True,Z,True,Z,0.24489795918367346,
human,19980704,human,visual,5x5,cross,5x5_cross_0.npy,1753373014.0,19980704_5x5_cross_1753373014.json,True,1.0,7.129012584686279,True,cross,True,cross,0.0,
human,19980704,human,visual,7x7,cross,7x7_cross_28.npy,1753374199.0,19980704_7x7_cross_1753374199.json,True,1.0,7.626189708709717,True,cross,True,cross,0.12244897959183673,
human,19980704,human,visual,5x5,spiral,5x5_spiral_3.npy,1753373083.0,19980704_5x5_spiral_1753373083.json,True,9.0,30.30621337890625,True,spiral,True,spiral,0.0,
human,19980704,human,visual,5x5,square,5x5_square_3.npy,1753372958.0,19980704_5x5_square_1753372958.json,True,1.0,12.242364883422852,True,square,True,square,0.0,
human,19980704,human,visual,5x5,C,5x5_C_3.npy,1753373990.0,19980704_5x5_C_1753373990.json,True,1.0,5.823935031890869,True,C,True,C,0.0,
human,19980704,human,visual,5x5,Z,5x5_Z_4.npy,1753374046.0,19980704_5x5_Z_1753374046.json,True,1.0,15.751211166381836,True,Z,True,Z,0.0,
human,19980704,human,visual,7x7,C,7x7_C_3.npy,1753374435.0,19980704_7x7_C_1753374435.json,True,2.0,10.037299394607544,True,C,True,C,0.16326530612244897,
human,19980704,human,visual,7x7,square,7x7_square_10.npy,1753374147.0,19980704_7x7_square_1753374147.json,True,6.0,19.679491758346558,True,square,True,square,0.0,
human,19980704,human,visual,7x7,triangle,7x7_triangle_9.npy,1753374359.0,19980704_7x7_triangle_1753374359.json,True,1.0,9.133435249328613,True,triangle,True,triangle,0.14285714285714285,
human,19980704,human,visual,7x7,spiral,7x7_spiral_10.npy,1753374265.0,19980704_7x7_spiral_1753374265.json,True,9.0,27.610219717025757,True,spiral,True,spiral,0.08163265306122448,
human,19980704,human,visual,5x5,triangle,5x5_triangle_2.npy,1753373868.0,19980704_5x5_triangle_1753373868.json,True,1.0,13.496066808700562,True,triangle,True,triangle,0.4,
human,20010403,human,visual,7x7,C,7x7_C_1.npy,1753586278.0,20010403_7x7_C_1753586278.json,True,1.0,7.976223468780518,True,C,True,C,0.16326530612244897,
human,20010403,human,visual,7x7,spiral,7x7_spiral_15.npy,1753586165.0,20010403_7x7_spiral_1753586165.json,True,5.0,13.237584352493286,True,spiral,True,spiral,0.0,
human,20010403,human,visual,5x5,square,5x5_square_0.npy,1753585654.0,20010403_5x5_square_1753585654.json,True,1.0,5.7729103565216064,True,square,True,square,0.0,
human,20010403,human,visual,5x5,spiral,5x5_spiral_3.npy,1753585784.0,20010403_5x5_spiral_1753585784.json,True,9.0,18.675803422927856,True,spiral,True,spiral,0.0,
human,20010403,human,visual,5x5,Z,5x5_Z_2.npy,1753586010.0,20010403_5x5_Z_1753586010.json,True,1.0,5.2708494663238525,True,Z,True,Z,0.0,
human,20010403,human,visual,5x5,square,5x5_square_3.npy,1753585531.0,20010403_5x5_square_1753585531.json,True,1.0,7.575784683227539,True,square,True,square,0.0,
human,20010403,human,visual,5x5,cross,5x5_cross_1.npy,1753585742.0,20010403_5x5_cross_1753585742.json,True,1.0,5.871335506439209,True,cross,True,cross,0.0,
human,20010403,human,visual,7x7,cross,7x7_cross_27.npy,1753586118.0,20010403_7x7_cross_1753586118.json,True,1.0,8.331042051315308,True,cross,True,cross,0.12244897959183673,
human,20010403,human,visual,5x5,triangle,5x5_triangle_4.npy,1753585928.0,20010403_5x5_triangle_1753585928.json,True,1.0,5.170427560806274,True,triangle,True,triangle,0.24,
human,20010403,human,visual,7x7,square,7x7_square_15.npy,1753586062.0,20010403_7x7_square_1753586062.json,True,2.0,6.123407602310181,True,square,True,square,0.20408163265306123,
human,20010403,human,visual,7x7,triangle,7x7_triangle_25.npy,1753586227.0,20010403_7x7_triangle_1753586227.json,True,1.0,5.770816802978516,True,triangle,True,triangle,0.14285714285714285,
human,20010403,human,visual,5x5,C,5x5_C_2.npy,1753585979.0,20010403_5x5_C_1753585979.json,True,1.0,6.72740912437439,True,C,True,C,0.0,
human,20010403,human,visual,7x7,Z,7x7_Z_6.npy,1753586317.0,20010403_7x7_Z_1753586317.json,True,4.0,11.139524221420288,True,Z,True,Z,0.0,
human,19991011,human,visual,5x5,triangle,5x5_triangle_3.npy,1753412313.0,19991011_5x5_triangle_1753412313.json,True,1.0,5.218763828277588,True,triangle,True,triangle,0.0,
human,19991011,human,visual,5x5,square,5x5_square_1.npy,1753412084.0,19991011_5x5_square_1753412084.json,True,1.0,4.920008420944214,True,square,True,square,0.0,
human,19991011,human,visual,7x7,cross,7x7_cross_10.npy,1753412549.0,19991011_7x7_cross_1753412549.json,True,1.0,4.518921375274658,True,cross,True,cross,0.12244897959183673,
human,19991011,human,visual,7x7,square,7x7_square_20.npy,1753412463.0,19991011_7x7_square_1753412463.json,True,2.0,6.173936605453491,True,square,True,square,0.20408163265306123,
human,19991011,human,visual,7x7,C,7x7_C_14.npy,1753412793.0,19991011_7x7_C_1753412793.json,True,5.0,11.60018014907837,True,C,True,C,0.16326530612244897,
human,19991011,human,visual,5x5,spiral,5x5_spiral_3.npy,1753412214.0,19991011_5x5_spiral_1753412214.json,True,9.0,21.28398823738098,True,spiral,True,spiral,0.0,
human,19991011,human,visual,7x7,Z,7x7_Z_16.npy,1753412829.0,19991011_7x7_Z_1753412829.json,True,1.0,5.771579265594482,True,Z,True,Z,0.24489795918367346,
human,19991011,human,visual,7x7,triangle,7x7_triangle_3.npy,1753412731.0,19991011_7x7_triangle_1753412731.json,True,2.0,6.62628698348999,True,triangle,True,triangle,0.061224489795918366,
human,19991011,human,visual,7x7,spiral,7x7_spiral_21.npy,1753412637.0,19991011_7x7_spiral_1753412637.json,True,3.0,9.03606629371643,True,spiral,True,spiral,0.08163265306122448,
human,19991011,human,visual,5x5,cross,5x5_cross_1.npy,1753412158.0,19991011_5x5_cross_1753412158.json,True,1.0,7.4780189990997314,True,cross,True,cross,0.0,
human,19991011,human,visual,5x5,C,5x5_C_2.npy,1753412364.0,19991011_5x5_C_1753412364.json,True,1.0,5.47036075592041,True,C,True,C,0.0,
human,19991011,human,visual,5x5,Z,5x5_Z_1.npy,1753412409.0,19991011_5x5_Z_1753412409.json,True,2.0,9.98619031906128,True,Z,True,Z,0.0,
human,20021107,human,visual,5x5,Z,5x5_Z_2.npy,1753613679.0,20021107_5x5_Z_1753613679.json,True,1.0,4.067716836929321,True,Z,True,Z,0.0,
human,20021107,human,visual,7x7,square,7x7_square_8.npy,1753613720.0,20021107_7x7_square_1753613720.json,True,1.0,3.718513011932373,True,square,True,square,0.0,
human,20021107,human,visual,7x7,spiral,7x7_spiral_9.npy,1753613798.0,20021107_7x7_spiral_1753613798.json,True,7.0,13.10790491104126,True,spiral,True,spiral,0.0,
human,20021107,human,visual,5x5,spiral,5x5_spiral_1.npy,1753613538.0,20021107_5x5_spiral_1753613538.json,True,7.0,10.19637155532837,True,spiral,True,spiral,0.0,
human,20021107,human,visual,5x5,cross,5x5_cross_4.npy,1753613509.0,20021107_5x5_cross_1753613509.json,True,1.0,9.134037971496582,True,cross,True,cross,0.0,
human,20021107,human,visual,7x7,triangle,7x7_triangle_29.npy,1753613859.0,20021107_7x7_triangle_1753613859.json,True,1.0,4.017359495162964,True,triangle,True,triangle,0.14285714285714285,
human,20021107,human,visual,7x7,C,7x7_C_21.npy,1753613902.0,20021107_7x7_C_1753613902.json,True,1.0,4.32067608833313,True,C,True,C,0.0,
human,20021107,human,visual,5x5,square,5x5_square_4.npy,1753613465.0,20021107_5x5_square_1753613465.json,True,1.0,4.016941547393799,True,square,True,square,0.0,
human,20021107,human,visual,7x7,Z,7x7_Z_18.npy,1753613932.0,20021107_7x7_Z_1753613932.json,True,5.0,9.544764518737793,True,Z,True,Z,0.0,
human,20021107,human,visual,7x7,cross,7x7_cross_26.npy,1753613769.0,20021107_7x7_cross_1753613769.json,True,1.0,4.369187593460083,True,cross,True,cross,0.0,
human,20021107,human,visual,5x5,C,5x5_C_2.npy,1753613653.0,20021107_5x5_C_1753613653.json,True,1.0,12.894900560379028,True,C,True,C,0.0,
human,20021107,human,visual,5x5,triangle,5x5_triangle_4.npy,1753613611.0,20021107_5x5_triangle_1753613611.json,True,1.0,7.475448131561279,True,triangle,False,,,
human,20040130,human,visual,5x5,square,5x5_square_2.npy,1753582414.0,20040130_5x5_square_1753582414.json,True,2.0,5.125230073928833,True,square,True,square,0.0,
human,20040130,human,visual,5x5,cross,5x5_cross_3.npy,1753582460.0,20040130_5x5_cross_1753582460.json,True,1.0,5.069861888885498,True,cross,True,cross,0.0,
human,20040130,human,visual,7x7,C,7x7_C_20.npy,1753582894.0,20040130_7x7_C_1753582894.json,True,5.0,10.044534921646118,True,C,True,C,0.16326530612244897,
human,20040130,human,visual,7x7,square,7x7_square_20.npy,1753582671.0,20040130_7x7_square_1753582671.json,True,2.0,8.982024192810059,True,square,True,square,0.20408163265306123,
human,20040130,human,visual,5x5,triangle,5x5_triangle_1.npy,1753582556.0,20040130_5x5_triangle_1753582556.json,True,3.0,8.18271279335022,True,triangle,True,triangle,0.0,
human,20040130,human,visual,5x5,C,5x5_C_3.npy,1753582590.0,20040130_5x5_C_1753582590.json,True,1.0,5.618357181549072,True,C,True,C,0.0,
human,20040130,human,visual,7x7,triangle,7x7_triangle_28.npy,1753582838.0,20040130_7x7_triangle_1753582838.json,True,1.0,9.031315803527832,True,triangle,True,triangle,0.1836734693877551,
human,20040130,human,visual,7x7,spiral,7x7_spiral_23.npy,1753582767.0,20040130_7x7_spiral_1753582767.json,True,2.0,6.574751138687134,True,spiral,True,spiral,0.0,
human,20040130,human,visual,7x7,Z,7x7_Z_10.npy,1753582924.0,20040130_7x7_Z_1753582924.json,True,1.0,5.370568752288818,True,Z,True,Z,0.0,
human,20040130,human,visual,5x5,Z,5x5_Z_4.npy,1753582627.0,20040130_5x5_Z_1753582627.json,True,1.0,9.18453335762024,True,Z,True,Z,0.0,
human,20040130,human,visual,7x7,cross,7x7_cross_18.npy,1753582733.0,20040130_7x7_cross_1753582733.json,True,1.0,6.523745536804199,True,cross,True,cross,0.20408163265306123,
human,20040130,human,visual,5x5,spiral,5x5_spiral_1.npy,1753582494.0,20040130_5x5_spiral_1753582494.json,True,7.0,13.257548570632935,True,spiral,True,spiral,0.0,
human,19990318,human,visual,5x5,Z,5x5_Z_1.npy,1753580165.0,19990318_5x5_Z_1753580165.json,True,2.0,6.643275499343872,True,Z,True,Z,0.0,
human,19990318,human,visual,7x7,triangle,7x7_triangle_16.npy,1753580430.0,19990318_7x7_triangle_1753580430.json,True,1.0,5.321203708648682,True,triangle,True,triangle,0.22448979591836735,
human,19990318,human,visual,7x7,C,7x7_C_13.npy,1753580490.0,19990318_7x7_C_1753580490.json,True,4.0,19.717408180236816,True,C,True,C,0.16326530612244897,
human,19990318,human,visual,5x5,cross,5x5_cross_0.npy,1753579972.0,19990318_5x5_cross_1753579972.json,True,1.0,5.569992780685425,True,cross,True,cross,0.0,
human,19990318,human,visual,7x7,cross,7x7_cross_5.npy,1753580299.0,19990318_7x7_cross_1753580299.json,True,1.0,4.72126030921936,True,cross,True,cross,0.14285714285714285,
human,19990318,human,visual,5x5,C,5x5_C_2.npy,1753580127.0,19990318_5x5_C_1753580127.json,True,1.0,6.474834203720093,True,C,True,C,0.0,
human,19990318,human,visual,5x5,cross,5x5_cross_1.npy,1753579903.0,19990318_5x5_cross_1753579903.json,True,1.0,6.128618955612183,,,,,,
human,19990318,human,visual,7x7,Z,7x7_Z_9.npy,1753580534.0,19990318_7x7_Z_1753580534.json,True,1.0,8.831212520599365,True,Z,True,Z,0.24489795918367346,
human,19990318,human,visual,5x5,triangle,5x5_triangle_1.npy,1753580087.0,19990318_5x5_triangle_1753580087.json,True,3.0,14.449545621871948,True,triangle,True,triangle,0.32,
human,19990318,human,visual,7x7,square,7x7_square_27.npy,1753580226.0,19990318_7x7_square_1753580226.json,True,8.0,16.22135066986084,True,square,True,square,0.16326530612244897,
human,19990318,human,visual,5x5,square,5x5_square_2.npy,1753579841.0,19990318_5x5_square_1753579841.json,True,2.0,4.822686433792114,False,cross,True,square,0.0,
human,19990318,human,visual,5x5,square,5x5_square_1.npy,1753579925.0,19990318_5x5_square_1753579925.json,True,1.0,4.4186365604400635,True,square,True,square,0.0,
human,19990318,human,visual,5x5,spiral,5x5_spiral_0.npy,1753580004.0,19990318_5x5_spiral_1753580004.json,True,1.0,6.17218804359436,True,spiral,True,spiral,0.0,
human,19990318,human,visual,7x7,spiral,7x7_spiral_28.npy,1753580352.0,19990318_7x7_spiral_1753580352.json,True,5.0,11.797790288925171,True,spiral,True,spiral,0.08163265306122448,
human,19990630,human,visual,7x7,triangle,7x7_triangle_15.npy,1753614881.0,19990630_7x7_triangle_1753614881.json,True,3.0,8.636155843734741,True,triangle,True,triangle,0.061224489795918366,
human,19990630,human,visual,5x5,Z,5x5_Z_3.npy,1753614698.0,19990630_5x5_Z_1753614698.json,True,2.0,6.929511308670044,True,Z,True,Z,0.0,
human,19990630,human,visual,7x7,Z,7x7_Z_0.npy,1753614978.0,19990630_7x7_Z_1753614978.json,True,6.0,12.201801538467407,True,Z,True,Z,0.0,
human,19990630,human,visual,7x7,C,7x7_C_25.npy,1753614937.0,19990630_7x7_C_1753614937.json,True,1.0,5.11842679977417,True,C,True,C,0.0,
human,19990630,human,visual,5x5,C,5x5_C_3.npy,1753614658.0,19990630_5x5_C_1753614658.json,True,1.0,4.466172695159912,True,C,True,C,0.0,
human,19990630,human,visual,7x7,cross,7x7_cross_6.npy,1753614786.0,19990630_7x7_cross_1753614786.json,True,1.0,4.317580223083496,True,cross,True,cross,0.0,
human,19990630,human,visual,5x5,cross,5x5_cross_1.npy,1753614530.0,19990630_5x5_cross_1753614530.json,True,1.0,5.6717445850372314,True,cross,True,cross,0.0,
human,19990630,human,visual,5x5,spiral,5x5_spiral_1.npy,1753614559.0,19990630_5x5_spiral_1753614559.json,True,7.0,9.759907484054565,True,spiral,True,spiral,0.0,
human,19990630,human,visual,7x7,spiral,7x7_spiral_2.npy,1753614815.0,19990630_7x7_spiral_1753614815.json,True,3.0,7.785400390625,True,spiral,True,spiral,0.0,
human,19990630,human,visual,5x5,triangle,5x5_triangle_3.npy,1753614620.0,19990630_5x5_triangle_1753614620.json,True,1.0,4.0179665088653564,True,triangle,True,triangle,0.0,
human,19990630,human,visual,7x7,square,7x7_square_17.npy,1753614741.0,19990630_7x7_square_1753614741.json,True,2.0,8.781078815460205,True,square,True,square,0.0,
human,19990630,human,visual,5x5,square,5x5_square_4.npy,1753614476.0,19990630_5x5_square_1753614476.json,True,1.0,3.564295530319214,True,square,True,square,0.0,
human,20031016,human,visual,5x5,spiral,5x5_spiral_0.npy,1753599297.0,20031016_5x5_spiral_1753599297.json,True,1.0,8.07938838005066,True,spiral,True,spiral,0.0,
human,20031016,human,visual,5x5,triangle,5x5_triangle_2.npy,1753599818.0,20031016_5x5_triangle_1753599818.json,True,1.0,7.58047080039978,True,triangle,True,triangle,0.0,
human,20031016,human,visual,7x7,cross,7x7_cross_10.npy,1753600124.0,20031016_7x7_cross_1753600124.json,True,1.0,25.028384923934937,True,cross,True,cross,0.12244897959183673,
human,20031016,human,visual,5x5,cross,5x5_cross_1.npy,1753599633.0,20031016_5x5_cross_1753599633.json,True,1.0,6.92412543296814,True,cross,True,cross,0.0,
human,20031016,human,visual,7x7,square,7x7_square_20.npy,1753600031.0,20031016_7x7_square_1753600031.json,True,2.0,10.412057161331177,True,square,True,square,0.20408163265306123,
human,20031016,human,visual,5x5,triangle,5x5_triangle_4.npy,1753599384.0,20031016_5x5_triangle_1753599384.json,True,1.0,6.22389554977417,True,triangle,True,triangle,0.24,
human,20031016,human,visual,7x7,triangle,7x7_triangle_15.npy,1753600383.0,20031016_7x7_triangle_1753600383.json,True,3.0,13.499990224838257,True,triangle,True,triangle,0.22448979591836735,
human,20031016,human,visual,7x7,Z,7x7_Z_21.npy,1753600477.0,20031016_7x7_Z_1753600477.json,True,2.0,9.183274507522583,True,Z,True,Z,0.24489795918367346,
human,20031016,human,visual,5x5,spiral,5x5_spiral_2.npy,1753599707.0,20031016_5x5_spiral_1753599707.json,True,2.0,10.637010097503662,True,spiral,True,spiral,0.0,
human,20031016,human,visual,5x5,Z,5x5_Z_1.npy,1753599967.0,20031016_5x5_Z_1753599967.json,True,2.0,21.183870792388916,True,Z,True,Z,0.0,
human,20031016,human,visual,5x5,square,5x5_square_3.npy,1753599569.0,20031016_5x5_square_1753599569.json,True,1.0,5.272713899612427,True,square,True,square,0.0,
human,20031016,human,visual,7x7,spiral,7x7_spiral_7.npy,1753600194.0,20031016_7x7_spiral_1753600194.json,True,15.0,40.335254192352295,True,spiral,True,spiral,0.08163265306122448,
human,20031016,human,visual,7x7,C,7x7_C_5.npy,1753600436.0,20031016_7x7_C_1753600436.json,True,1.0,6.524063587188721,True,C,True,C,0.16326530612244897,
human,20031016,human,visual,5x5,C,5x5_C_4.npy,1753599895.0,20031016_5x5_C_1753599895.json,True,3.0,15.101716995239258,True,C,True,C,0.0,
human,20031016,human,visual,5x5,cross,5x5_cross_3.npy,1753599230.0,20031016_5x5_cross_1753599230.json,True,1.0,8.92936658859253,True,cross,True,cross,0.0,
human,20031016,human,visual,5x5,C,5x5_C_2.npy,1753599457.0,20031016_5x5_C_1753599457.json,True,1.0,8.643786430358887,True,C,False,,,
human,20031016,human,visual,5x5,square,5x5_square_4.npy,1753599129.0,20031016_5x5_square_1753599129.json,True,1.0,30.610916137695312,True,square,True,square,0.0,
human,20000509,human,visual,5x5,square,5x5_square_3.npy,1753581628.0,20000509_5x5_square_1753581628.json,True,1.0,4.219639778137207,True,square,True,square,0.0,
human,20000509,human,visual,7x7,triangle,7x7_triangle_22.npy,1753582256.0,20000509_7x7_triangle_1753582256.json,True,1.0,7.424347877502441,True,triangle,True,triangle,0.0,
human,20000509,human,visual,5x5,triangle,5x5_triangle_3.npy,1753581899.0,20000509_5x5_triangle_1753581899.json,True,1.0,4.516795873641968,True,triangle,True,triangle,0.36,
human,20000509,human,visual,5x5,spiral,5x5_spiral_2.npy,1753581730.0,20000509_5x5_spiral_1753581730.json,True,2.0,8.479458093643188,True,spiral,True,spiral,0.0,
human,20000509,human,visual,5x5,C,5x5_C_3.npy,1753581942.0,20000509_5x5_C_1753581942.json,True,1.0,7.07721209526062,True,C,True,C,0.0,
human,20000509,human,visual,5x5,Z,5x5_Z_0.npy,1753581984.0,20000509_5x5_Z_1753581984.json,True,3.0,9.538020372390747,True,Z,True,Z,0.0,
human,20000509,human,visual,5x5,cross,5x5_cross_2.npy,1753581699.0,20000509_5x5_cross_1753581699.json,True,1.0,5.070976257324219,True,cross,True,cross,0.0,
human,20000509,human,visual,7x7,square,7x7_square_18.npy,1753582029.0,20000509_7x7_square_1753582029.json,True,1.0,5.9206383228302,True,square,True,square,0.0,
human,20000509,human,visual,7x7,spiral,7x7_spiral_5.npy,1753582160.0,20000509_7x7_spiral_1753582160.json,True,6.0,15.860851764678955,True,spiral,True,spiral,0.08163265306122448,
human,20000509,human,visual,7x7,cross,7x7_cross_23.npy,1753582121.0,20000509_7x7_cross_1753582121.json,True,1.0,4.519001007080078,True,cross,True,cross,0.12244897959183673,
human,20000509,human,visual,7x7,Z,7x7_Z_24.npy,1753582333.0,20000509_7x7_Z_1753582333.json,True,1.0,5.271864175796509,True,Z,True,Z,0.0,
human,20000509,human,visual,7x7,C,7x7_C_2.npy,1753582301.0,20000509_7x7_C_1753582301.json,True,1.0,5.574541807174683,True,C,True,C,0.16326530612244897,
human,20011205,human,visual,5x5,cross,5x5_cross_0.npy,1753578481.0,20011205_5x5_cross_1753578481.json,True,1.0,4.770032644271851,True,cross,True,cross,0.0,
human,20011205,human,visual,7x7,triangle,7x7_triangle_12.npy,1753579401.0,20011205_7x7_triangle_1753579401.json,True,2.0,13.399306535720825,True,triangle,True,triangle,0.1836734693877551,
human,20011205,human,visual,7x7,cross,7x7_cross_10.npy,1753579143.0,20011205_7x7_cross_1753579143.json,True,1.0,5.2706077098846436,True,cross,True,cross,0.12244897959183673,
human,20011205,human,visual,5x5,triangle,5x5_triangle_3.npy,1753578894.0,20011205_5x5_triangle_1753578894.json,True,1.0,6.62930154800415,True,triangle,True,triangle,0.0,
human,20011205,human,visual,5x5,spiral,5x5_spiral_0.npy,1753578813.0,20011205_5x5_spiral_1753578813.json,True,1.0,17.317140102386475,True,spiral,True,spiral,0.0,
human,20011205,human,visual,5x5,C,5x5_C_4.npy,1753578656.0,20011205_5x5_C_1753578656.json,True,3.0,8.037303924560547,True,C,True,C,0.0,
human,20011205,human,visual,7x7,square,7x7_square_8.npy,1753579090.0,20011205_7x7_square_1753579090.json,True,1.0,6.227205038070679,True,square,True,square,0.16326530612244897,
human,20011205,human,visual,7x7,Z,7x7_Z_2.npy,1753579499.0,20011205_7x7_Z_1753579499.json,True,2.0,6.98940896987915,True,Z,True,Z,0.0,
human,20011205,human,visual,7x7,spiral,7x7_spiral_12.npy,1753579252.0,20011205_7x7_spiral_1753579252.json,True,9.0,53.808905839920044,True,spiral,True,spiral,0.08163265306122448,
human,20011205,human,visual,5x5,triangle,5x5_triangle_1.npy,1753578604.0,20011205_5x5_triangle_1753578604.json,True,3.0,14.259222745895386,True,triangle,True,triangle,0.0,
human,20011205,human,visual,5x5,Z,5x5_Z_3.npy,1753578990.0,20011205_5x5_Z_1753578990.json,True,2.0,10.893676280975342,True,Z,True,Z,0.0,
human,20011205,human,visual,7x7,C,7x7_C_19.npy,1753579459.0,20011205_7x7_C_1753579459.json,True,1.0,5.5263991355896,True,C,True,C,0.16326530612244897,
human,20011205,human,visual,5x5,square,5x5_square_2.npy,1753578420.0,20011205_5x5_square_1753578420.json,True,2.0,5.223478317260742,True,square,True,square,0.0,
human,20020914,human,visual,7x7,square,7x7_square_17.npy,1753584412.0,20020914_7x7_square_1753584412.json,True,2.0,8.382294416427612,True,square,True,square,0.32653061224489793,
human,20020914,human,visual,5x5,Z,5x5_Z_2.npy,1753584370.0,20020914_5x5_Z_1753584370.json,True,1.0,6.023284196853638,True,Z,True,Z,0.0,
human,20020914,human,visual,5x5,triangle,5x5_triangle_3.npy,1753584288.0,20020914_5x5_triangle_1753584288.json,True,1.0,6.47383975982666,True,triangle,True,triangle,0.0,
human,20020914,human,visual,5x5,C,5x5_C_1.npy,1753584334.0,20020914_5x5_C_1753584334.json,True,2.0,7.681308746337891,True,C,True,C,0.0,
human,20020914,human,visual,7x7,Z,7x7_Z_19.npy,1753584640.0,20020914_7x7_Z_1753584640.json,True,3.0,9.285123109817505,True,Z,True,Z,0.24489795918367346,
human,20020914,human,visual,5x5,cross,5x5_cross_3.npy,1753584188.0,20020914_5x5_cross_1753584188.json,True,1.0,5.169543027877808,True,cross,True,cross,0.0,
human,20020914,human,visual,5x5,spiral,5x5_spiral_4.npy,1753584214.0,20020914_5x5_spiral_1753584214.json,True,2.0,5.873662233352661,True,spiral,True,spiral,0.0,
human,20020914,human,visual,7x7,triangle,7x7_triangle_9.npy,1753584560.0,20020914_7x7_triangle_1753584560.json,True,1.0,7.926918983459473,True,triangle,True,triangle,0.22448979591836735,
